X-axis,Y-axis,Z-axis,Blood Value pulse,Electrodermal activity,Heart rate,Time interval, IBI,Temperature
-48,-12,-43,-53.41,0.151446,82.28,1898.03125,0.59375,32.79
-44,-11,-44,-61.67,0.147602,81.75,1898.625,0.59375,32.79
-49,-9,-48,-67.34,0.146321,81.25,1899.234375,0.609375,32.79
-45,-9,-41,-66.78,0.150165,80.73,1899.84375,0.609375,32.79
-44,-6,-41,-56.41,0.146321,80.22,1900.4375,0.59375,32.81
-46,-8,-44,-34.39,0.147602,79.7,1901.015625,0.578125,32.81
-48,-9,-46,-1.94,4,79.17,1901.625,0.609375,32.81
-48,-10,-43,36.23,0,78.7,1902.234375,0.609375,32.81
-46,-13,-39,73.48,0.267734,78.13,1902.859375,0.625,32.79
-48,-12,-42,103.69,0.321537,77.55,1903.4375,0.578125,32.79
-47,-9,-47,123.59,0.330504,76.78,1906.84375,0.5625,32.79
-45,-10,-42,133.54,0.336909,76.22,1907.421875,0.578125,32.79
-46,-11,-42,136.83,0.331785,75.95,1908.015625,0.59375,32.79
-48,-8,-48,137.67,0.348438,76,1908.625,0.609375,32.79
-47,-9,-44,139.11,0.347157,76.07,1909.203125,0.578125,32.79
-45,-8,-42,141.64,0.343314,76.12,1909.796875,0.59375,32.79
-44,-7,-45,142.99,0.340752,76.17,1910.390625,0.59375,32.81
-49,-8,-44,139.31,0.340752,76.22,1911,0.609375,32.81
-49,-9,-43,126.96,0.340752,76.25,1911.578125,0.578125,32.81
-46,-7,-44,104.2,0.343314,76.32,1912.140625,0.5625,32.81
-46,-9,-42,72.53,0.342033,76.35,1912.734375,0.59375,32.79
-48,-8,-44,36.3,0.343314,76.37,1915.8125,0.671875,32.79
-47,-9,-45,1.35,0.343314,76.42,1916.4375,0.625,32.79
-47,-10,-42,-27.1,0.342033,76.4,1917.078125,0.640625,32.79
-46,-10,-42,-46.56,0.344595,76.52,1917.734375,0.65625,32.81
-47,-9,-45,-57.73,0.353562,76.65,1918.359375,0.625,32.81
-47,-10,-42,-63.38,0.344595,76.8,1918.984375,0.625,32.81
-46,-9,-44,-66.06,0.330504,76.97,1919.609375,0.625,32.81
-45,-7,-44,-66.31,0.339471,77.17,1920.21875,0.609375,32.79
